Job 241: Waiting time = 11.705329386983067 | Resolution time = 0.0007080170325934887 | Resolution type = None
Job 242: Waiting time = 11.68925286224112 | Resolution time = 0.0006954888813197613 | Resolution type = None
Job 243: Waiting time = 11.677047471981496 | Resolution time = 0.0006441539153456688 | Resolution type = None
Job 244: Waiting time = 11.661102745682001 | Resolution time = 0.0006757951341569424 | Resolution type = None
Job 245: Waiting time = 11.638610496651381 | Resolution time = 0.0007025059312582016 | Resolution type = None
Job 246: Waiting time = 11.619255614932626 | Resolution time = 0.0007151039317250252 | Resolution type = None
Job 247: Waiting time = 11.600400168914348 | Resolution time = 0.0006271619349718094 | Resolution type = None
Job 248: Waiting time = 11.587702872697264 | Resolution time = 0.0006575467996299267 | Resolution type = None
Job 249: Waiting time = 11.574650784954429 | Resolution time = 0.0006258883513510227 | Resolution type = None
Job 250: Waiting time = 11.555267882999033 | Resolution time = 0.0006686020642518997 | Resolution type = None
Job 251: Waiting time = 11.537497052922845 | Resolution time = 0.0012121833860874176 | Resolution type = None
Job 252: Waiting time = 11.523788198363036 | Resolution time = 0.0012117400765419006 | Resolution type = None
Job 253: Waiting time = 11.497382189147174 | Resolution time = 0.0009499229490756989 | Resolution type = None
Job 254: Waiting time = 11.48226777696982 | Resolution time = 0.0008404338732361794 | Resolution type = None
Job 255: Waiting time = 11.471944236196578 | Resolution time = 0.0006682369858026505 | Resolution type = None
Job 256: Waiting time = 11.45972860371694 | Resolution time = 0.0006680069491267204 | Resolution type = None
Job 257: Waiting time = 11.440912316087633 | Resolution time = 0.0006189965642988682 | Resolution type = None
Job 258: Waiting time = 11.427508073858917 | Resolution time = 0.0005839061923325062 | Resolution type = None
Job 259: Waiting time = 11.411343790125102 | Resolution time = 0.0006750668399035931 | Resolution type = None
Job 260: Waiting time = 11.388434683904052 | Resolution time = 0.0006718738004565239 | Resolution type = None
Job 261: Waiting time = 11.37741349870339 | Resolution time = 0.000668809749186039 | Resolution type = None
Job 262: Waiting time = 11.368170992005616 | Resolution time = 0.0006713410839438438 | Resolution type = None
Job 263: Waiting time = 11.356516372878104 | Resolution time = 0.0007131858728826046 | Resolution type = None
Job 264: Waiting time = 11.341006839182228 | Resolution time = 0.0006541167385876179 | Resolution type = None
Job 265: Waiting time = 11.324511037673801 | Resolution time = 0.0006902250461280346 | Resolution type = None
Job 266: Waiting time = 11.302913961932063 | Resolution time = 0.0006689303554594517 | Resolution type = None
Job 267: Waiting time = 11.287925887852907 | Resolution time = 0.0008549853228032589 | Resolution type = None
Job 268: Waiting time = 11.275125163141638 | Resolution time = 0.0010048081167042255 | Resolution type = None
Job 269: Waiting time = 11.258529570885003 | Resolution time = 0.00068288529291749 | Resolution type = None
Job 270: Waiting time = 11.249308831058443 | Resolution time = 0.0006234562024474144 | Resolution type = None
Job 271: Waiting time = 11.226553309708834 | Resolution time = 0.000716483686119318 | Resolution type = None
Job 272: Waiting time = 11.216476554982364 | Resolution time = 0.0006814766675233841 | Resolution type = None
Job 273: Waiting time = 11.202612507157028 | Resolution time = 0.0006887582130730152 | Resolution type = None
Job 274: Waiting time = 11.191079825162888 | Resolution time = 0.0006412104703485966 | Resolution type = None
Job 275: Waiting time = 11.172191527672112 | Resolution time = 0.0006831767968833447 | Resolution type = None
Job 276: Waiting time = 11.15911239106208 | Resolution time = 0.0007323580794036388 | Resolution type = None
Job 277: Waiting time = 11.137361110653728 | Resolution time = 0.000693845096975565 | Resolution type = None
Job 278: Waiting time = 11.12325003510341 | Resolution time = 0.0006672223098576069 | Resolution type = None
Job 279: Waiting time = 11.109376335982233 | Resolution time = 0.0006515076383948326 | Resolution type = None
Job 280: Waiting time = 11.092994129750878 | Resolution time = 0.000695384107530117 | Resolution type = None
Job 281: Waiting time = 11.075880683027208 | Resolution time = 0.0006779329851269722 | Resolution type = None
Job 282: Waiting time = 11.050019047688693 | Resolution time = 0.0006526992656290531 | Resolution type = None
Job 283: Waiting time = 11.03801512811333 | Resolution time = 0.0007656202651560307 | Resolution type = None
Job 284: Waiting time = 11.022092832252383 | Resolution time = 0.0006940499879419804 | Resolution type = None
