Job 253: Waiting time = 0.000686942134052515 | Resolution time = 0.0006723222322762012 | Resolution type = None
Job 254: Waiting time = 0.0007750312797725201 | Resolution time = 0.0007592719048261642 | Resolution type = None
Job 255: Waiting time = 0.0007577091455459595 | Resolution time = 0.0007425625808537006 | Resolution type = None
Job 256: Waiting time = 0.0007419628091156483 | Resolution time = 0.000726721715182066 | Resolution type = None
Normal period 4 ended!

----- VACATION Started -----
Start time: 52.38260049605742
Duration: 11.4085273896344
Jobs in the system: 55
------ VACATION ENDED ------

--- Normal Period 5 starts... ---
Job 257: Waiting time = 11.192353089805692 | Resolution time = 0.0007591438479721546 | Resolution type = None
Job 258: Waiting time = 11.00645671505481 | Resolution time = 0.0006236890330910683 | Resolution type = None
Job 259: Waiting time = 10.80842673778534 | Resolution time = 0.0005811820738017559 | Resolution type = None
Job 260: Waiting time = 10.595960685051978 | Resolution time = 0.0006080158054828644 | Resolution type = None
Job 261: Waiting time = 10.372688782867044 | Resolution time = 0.0006288541480898857 | Resolution type = None
Job 262: Waiting time = 10.175752309150994 | Resolution time = 0.0005305204540491104 | Resolution type = None
Job 263: Waiting time = 9.940390041097999 | Resolution time = 0.0005992553196847439 | Resolution type = None
Job 264: Waiting time = 9.73790089506656 | Resolution time = 0.0006029526703059673 | Resolution type = None
Job 265: Waiting time = 9.535171770956367 | Resolution time = 0.0006575342267751694 | Resolution type = None
Job 266: Waiting time = 9.323095450177789 | Resolution time = 0.0005794460885226727 | Resolution type = None
Job 267: Waiting time = 9.123680451884866 | Resolution time = 0.0005771159194409847 | Resolution type = None
Job 268: Waiting time = 8.896014481782913 | Resolution time = 0.0005973451770842075 | Resolution type = None
Job 269: Waiting time = 8.676721363794059 | Resolution time = 0.0005789967253804207 | Resolution type = None
Job 270: Waiting time = 8.486241966951638 | Resolution time = 0.0006348518654704094 | Resolution type = None
Job 271: Waiting time = 8.270981717854738 | Resolution time = 0.0006110910326242447 | Resolution type = None
Job 272: Waiting time = 8.046312837861478 | Resolution time = 0.0006416630931198597 | Resolution type = None
Job 273: Waiting time = 7.845949800219387 | Resolution time = 0.0005651167593896389 | Resolution type = None
Job 274: Waiting time = 7.653971900232136 | Resolution time = 0.0005774982273578644 | Resolution type = None
Job 275: Waiting time = 7.477469863835722 | Resolution time = 0.000570974312722683 | Resolution type = None
Job 276: Waiting time = 7.27196181518957 | Resolution time = 0.0005726423114538193 | Resolution type = None
Job 277: Waiting time = 7.052014952991158 | Resolution time = 0.00063374824821949 | Resolution type = None
Job 278: Waiting time = 6.85925032524392 | Resolution time = 0.0006156042218208313 | Resolution type = None
Job 279: Waiting time = 6.661534358281642 | Resolution time = 0.0005986536853015423 | Resolution type = None
Job 280: Waiting time = 6.472317755222321 | Resolution time = 0.0005776854231953621 | Resolution type = None
Job 281: Waiting time = 6.27039740094915 | Resolution time = 0.000533045269548893 | Resolution type = None
Job 282: Waiting time = 6.056806746870279 | Resolution time = 0.0005840458907186985 | Resolution type = None
Job 283: Waiting time = 5.840661874040961 | Resolution time = 0.0006314469501376152 | Resolution type = None
Job 284: Waiting time = 5.615901248995215 | Resolution time = 0.0005808798596262932 | Resolution type = None
Job 285: Waiting time = 5.422443916089833 | Resolution time = 0.0006086989305913448 | Resolution type = None
Job 286: Waiting time = 5.23862474411726 | Resolution time = 0.000656559132039547 | Resolution type = None
