Job 170: Waiting time = 3.248219575267285 | Resolution time = 0.0005940822884440422 | Resolution type = None
Job 171: Waiting time = 3.0255123050883412 | Resolution time = 0.0005653905682265759 | Resolution type = None
Job 172: Waiting time = 2.819169533904642 | Resolution time = 0.0005808849819004536 | Resolution type = None
Job 173: Waiting time = 2.620730957016349 | Resolution time = 0.0005943449214100838 | Resolution type = None
Job 174: Waiting time = 2.4266726612113416 | Resolution time = 0.0006232215091586113 | Resolution type = None
Job 175: Waiting time = 2.2382296230643988 | Resolution time = 0.0005830605514347553 | Resolution type = None
Job 176: Waiting time = 2.0607826551422477 | Resolution time = 0.0005912147462368011 | Resolution type = None
Job 177: Waiting time = 1.8573004980571568 | Resolution time = 0.0005724513903260231 | Resolution type = None
Job 178: Waiting time = 1.6532813012599945 | Resolution time = 0.000593175645917654 | Resolution type = None
Job 179: Waiting time = 1.4406855078414083 | Resolution time = 0.0005799811333417892 | Resolution type = None
Job 180: Waiting time = 1.2360952110029757 | Resolution time = 0.0005858521908521652 | Resolution type = None
Job 181: Waiting time = 1.0276840347796679 | Resolution time = 0.0005625239573419094 | Resolution type = None
Job 182: Waiting time = 0.8321519787423313 | Resolution time = 0.0005922862328588963 | Resolution type = Aux List
Job 183: Waiting time = 0.6125893471762538 | Resolution time = 0.0006420114077627659 | Resolution type = None
Job 184: Waiting time = 0.3947336398996413 | Resolution time = 0.0005760611966252327 | Resolution type = None
Job 185: Waiting time = 0.1851021209731698 | Resolution time = 0.0005977489054203033 | Resolution type = None
Normal period 4 ended!

----- VACATION Started -----
Start time: 38.416243175044656
Duration: 11.724096177145839
Jobs in the system: 57
------ VACATION ENDED ------

--- Normal Period 5 starts... ---
Job 186: Waiting time = 11.706948570907116 | Resolution time = 0.0007978091016411781 | Resolution type = None
Job 187: Waiting time = 11.500048951245844 | Resolution time = 0.0006049918010830879 | Resolution type = None
Job 188: Waiting time = 11.288490558043122 | Resolution time = 0.0006715697236359119 | Resolution type = None
Job 189: Waiting time = 11.082990088034421 | Resolution time = 0.0006442689336836338 | Resolution type = None
Job 190: Waiting time = 10.869696689303964 | Resolution time = 0.000629127025604248 | Resolution type = None
Job 191: Waiting time = 10.666256702970713 | Resolution time = 0.000620624516159296 | Resolution type = None
Job 192: Waiting time = 10.470889538992196 | Resolution time = 0.0006052609533071518 | Resolution type = None
Job 193: Waiting time = 10.222517816349864 | Resolution time = 0.000624421052634716 | Resolution type = None
Job 194: Waiting time = 10.031211107969284 | Resolution time = 0.0006170552223920822 | Resolution type = None
Job 195: Waiting time = 9.83578436076641 | Resolution time = 0.0006238515488803387 | Resolution type = None
Job 196: Waiting time = 9.623742854222655 | Resolution time = 0.0006206720136106014 | Resolution type = None
Job 197: Waiting time = 9.400788192171603 | Resolution time = 0.0006483509205281734 | Resolution type = None
Job 198: Waiting time = 9.213464198168367 | Resolution time = 0.0005994620732963085 | Resolution type = None
Job 199: Waiting time = 9.013753368053585 | Resolution time = 0.0006228308193385601 | Resolution type = None
Job 200: Waiting time = 8.83830189704895 | Resolution time = 0.000611424446105957 | Resolution type = None
Job 201: Waiting time = 8.623877848032862 | Resolution time = 0.000603741966187954 | Resolution type = None
Job 202: Waiting time = 8.41671050293371 | Resolution time = 0.0006001112051308155 | Resolution type = None
Job 203: Waiting time = 8.184682350140065 | Resolution time = 0.0009970120154321194 | Resolution type = None
Job 204: Waiting time = 7.948251437861472 | Resolution time = 0.001115919090807438 | Resolution type = None
Job 205: Waiting time = 7.749728634953499 | Resolution time = 0.000774662010371685 | Resolution type = None
