Job 243: Waiting time = 32.57106136158109 | Resolution time = 0.0006462750025093555 | Resolution type = None
Job 244: Waiting time = 32.552307561039925 | Resolution time = 0.000604524277150631 | Resolution type = None
Job 245: Waiting time = 32.528002983890474 | Resolution time = 0.0005615008994936943 | Resolution type = None
Job 246: Waiting time = 32.51124435290694 | Resolution time = 0.0005969800986349583 | Resolution type = None
Job 247: Waiting time = 32.500753422733396 | Resolution time = 0.0005693244747817516 | Resolution type = None
Job 248: Waiting time = 32.48807855928317 | Resolution time = 0.0006123818457126617 | Resolution type = None
Job 249: Waiting time = 32.476318501867354 | Resolution time = 0.001113460399210453 | Resolution type = None
Job 250: Waiting time = 32.45967374788597 | Resolution time = 0.0008466229774057865 | Resolution type = None
Job 251: Waiting time = 32.43802722590044 | Resolution time = 0.000654079020023346 | Resolution type = None
Job 252: Waiting time = 32.41968662617728 | Resolution time = 0.0006206510588526726 | Resolution type = None
Job 253: Waiting time = 32.40371338278055 | Resolution time = 0.0006714658811688423 | Resolution type = None
Job 254: Waiting time = 32.38205705815926 | Resolution time = 0.0006910227239131927 | Resolution type = None
Job 255: Waiting time = 32.36926484387368 | Resolution time = 0.0006543528288602829 | Resolution type = None
Job 256: Waiting time = 32.355872051324695 | Resolution time = 0.0005970136262476444 | Resolution type = None
Normal period 4 ended!

----- VACATION Started -----
Start time: 36.47189409099519
Duration: 11.535487815272063
Jobs in the system: 2636
------ VACATION ENDED ------

--- Normal Period 5 starts... ---
Job 257: Waiting time = 43.8679182799533 | Resolution time = 0.0008534328080713749 | Resolution type = None
Job 258: Waiting time = 43.85003932705149 | Resolution time = 0.0006052134558558464 | Resolution type = None
Job 259: Waiting time = 43.837554190307856 | Resolution time = 0.0006826594471931458 | Resolution type = None
Job 260: Waiting time = 43.82176445098594 | Resolution time = 0.0006457366980612278 | Resolution type = None
Job 261: Waiting time = 43.8068334502168 | Resolution time = 0.0006189965642988682 | Resolution type = None
Job 262: Waiting time = 43.78361561987549 | Resolution time = 0.0006916332058608532 | Resolution type = None
Job 263: Waiting time = 43.76140980096534 | Resolution time = 4.805624485015869e-06 | Resolution type = Policy
Job 264: Waiting time = 43.74330340791494 | Resolution time = 0.0006198938935995102 | Resolution type = None
Job 265: Waiting time = 43.72351431939751 | Resolution time = 3.598630428314209e-06 | Resolution type = Policy
Job 266: Waiting time = 43.71215582732111 | Resolution time = 0.0005874536000192165 | Resolution type = None
Job 267: Waiting time = 43.69540223199874 | Resolution time = 0.0009064106270670891 | Resolution type = None
Job 268: Waiting time = 43.67823542607948 | Resolution time = 0.001168572809547186 | Resolution type = None
Job 269: Waiting time = 43.65685736387968 | Resolution time = 1.4685094356536865e-05 | Resolution type = Policy
Job 270: Waiting time = 43.63950464781374 | Resolution time = 0.0008897669613361359 | Resolution type = None
Job 271: Waiting time = 43.629337972961366 | Resolution time = 0.0006070327945053577 | Resolution type = None
Job 272: Waiting time = 43.61249490780756 | Resolution time = 0.000636064913123846 | Resolution type = None
Job 273: Waiting time = 43.600854760967195 | Resolution time = 0.0006052586250007153 | Resolution type = None
Job 274: Waiting time = 43.57977659301832 | Resolution time = 0.0006395885720849037 | Resolution type = None
Job 275: Waiting time = 43.55961846001446 | Resolution time = 0.000617404468357563 | Resolution type = None
Job 276: Waiting time = 43.53999355016276 | Resolution time = 0.0006125913932919502 | Resolution type = None
Job 277: Waiting time = 43.52387304790318 | Resolution time = 0.0005493392236530781 | Resolution type = None
Job 278: Waiting time = 43.514362514950335 | Resolution time = 0.0005751177668571472 | Resolution type = None
Job 279: Waiting time = 43.50052688224241 | Resolution time = 0.0007011406123638153 | Resolution type = None
Job 280: Waiting time = 43.47414066595957 | Resolution time = 0.0006491062231361866 | Resolution type = None
Job 281: Waiting time = 43.454647792037576 | Resolution time = 0.0006085541099309921 | Resolution type = None
Job 282: Waiting time = 43.44287558225915 | Resolution time = 0.0005588820204138756 | Resolution type = None
Job 283: Waiting time = 43.424150310922414 | Resolution time = 0.0005538142286241055 | Resolution type = None
Job 284: Waiting time = 43.39880758477375 | Resolution time = 0.0006090612150728703 | Resolution type = None
Job 285: Waiting time = 43.38972855126485 | Resolution time = 0.0005834121257066727 | Resolution type = None
Job 286: Waiting time = 43.37628911715001 | Resolution time = 4.027970135211945e-06 | Resolution type = Policy
