Job 169: Waiting time = 0.0005074059590697289 | Resolution time = 0.0004919841885566711 | Resolution type = Policy
Job 170: Waiting time = 0.0006347061134874821 | Resolution time = 0.0006201136857271194 | Resolution type = Policy
Job 171: Waiting time = 0.0005539138801395893 | Resolution time = 0.0005391393788158894 | Resolution type = Policy
Job 172: Waiting time = 0.0015528248623013496 | Resolution time = 0.0015391125343739986 | Resolution type = None
Job 173: Waiting time = 0.00054156593978405 | Resolution time = 0.0005284352228045464 | Resolution type = Policy
Job 174: Waiting time = 0.0014332542195916176 | Resolution time = 0.0014193616807460785 | Resolution type = None
Job 175: Waiting time = 0.0014156349934637547 | Resolution time = 0.0014029592275619507 | Resolution type = None
Job 176: Waiting time = 0.00017752498388290405 | Resolution time = 0.00016379868611693382 | Resolution type = Policy
Job 177: Waiting time = 6.170244887471199e-05 | Resolution time = 4.9266964197158813e-05 | Resolution type = Policy
Job 178: Waiting time = 0.0013223937712609768 | Resolution time = 0.0013097971677780151 | Resolution type = None
Job 179: Waiting time = 0.00156784662976861 | Resolution time = 0.0015445128083229065 | Resolution type = None
Job 180: Waiting time = 0.00031501566991209984 | Resolution time = 0.00030002184212207794 | Resolution type = Policy
Job 181: Waiting time = 0.0007175691425800323 | Resolution time = 0.0007031867280602455 | Resolution type = Policy
Job 182: Waiting time = 0.0006057987920939922 | Resolution time = 0.000590240117162466 | Resolution type = Policy
Job 183: Waiting time = 0.0013492577709257603 | Resolution time = 0.0012539420276880264 | Resolution type = None
Job 184: Waiting time = 0.00015895720571279526 | Resolution time = 0.00014473078772425652 | Resolution type = Policy
Job 185: Waiting time = 0.0013521397486329079 | Resolution time = 0.0013380087912082672 | Resolution type = None
Job 186: Waiting time = 0.0012574060820043087 | Resolution time = 0.0012435461394488811 | Resolution type = None
Job 187: Waiting time = 0.0011885939165949821 | Resolution time = 0.0011756028980016708 | Resolution type = None
Job 188: Waiting time = 0.001402704045176506 | Resolution time = 0.0013887081295251846 | Resolution type = None
Job 189: Waiting time = 0.0013838480226695538 | Resolution time = 0.001369229517877102 | Resolution type = None
Job 190: Waiting time = 0.00043506920337677 | Resolution time = 0.0004124087281525135 | Resolution type = Policy
Job 191: Waiting time = 0.0013506938703358173 | Resolution time = 0.00133538618683815 | Resolution type = None
