Job 170: Waiting time = 3.0810298337601125 | Resolution time = 0.0006514205597341061 | Resolution type = None
Job 171: Waiting time = 2.8711513080634177 | Resolution time = 0.0006283777765929699 | Resolution type = None
Job 172: Waiting time = 2.6900260751135647 | Resolution time = 0.0002264152280986309 | Resolution type = Aux List
Job 173: Waiting time = 2.4664053600281477 | Resolution time = 0.0006134356372058392 | Resolution type = None
Job 174: Waiting time = 2.2863639211282134 | Resolution time = 0.0005800435319542885 | Resolution type = None
Job 175: Waiting time = 2.060157300904393 | Resolution time = 0.0006530103273689747 | Resolution type = None
Job 176: Waiting time = 1.8596882540732622 | Resolution time = 0.0006157010793685913 | Resolution type = None
Job 177: Waiting time = 1.6551860393956304 | Resolution time = 0.0006511779502034187 | Resolution type = None
Job 178: Waiting time = 1.455421085935086 | Resolution time = 0.0007278351113200188 | Resolution type = None
Job 179: Waiting time = 1.2398854093626142 | Resolution time = 0.0008609658107161522 | Resolution type = None
Job 180: Waiting time = 1.016518723219633 | Resolution time = 0.0006441390141844749 | Resolution type = None
Job 181: Waiting time = 0.7998327789828181 | Resolution time = 0.0005493601784110069 | Resolution type = None
Job 182: Waiting time = 0.5921762306243181 | Resolution time = 0.0005986634641885757 | Resolution type = None
Job 183: Waiting time = 0.4022133960388601 | Resolution time = 0.0006283191032707691 | Resolution type = None
Job 184: Waiting time = 0.21345311496406794 | Resolution time = 0.000614542979747057 | Resolution type = None
Job 185: Waiting time = 0.0006359019316732883 | Resolution time = 0.0006299908272922039 | Resolution type = None
Job 186: Waiting time = 0.000753078144043684 | Resolution time = 0.0007466590031981468 | Resolution type = None
Job 187: Waiting time = 0.0007465807721018791 | Resolution time = 0.0007393127307295799 | Resolution type = None
Job 188: Waiting time = 0.0006695808842778206 | Resolution time = 0.0006632027216255665 | Resolution type = None
Job 189: Waiting time = 0.0008460800163447857 | Resolution time = 0.0008388790301978588 | Resolution type = None
Job 190: Waiting time = 0.0007936651818454266 | Resolution time = 0.0007869717665016651 | Resolution type = None
Job 191: Waiting time = 0.0008335928432643414 | Resolution time = 0.0008181477896869183 | Resolution type = None
Job 192: Waiting time = 0.0009151860140264034 | Resolution time = 0.0007972340099513531 | Resolution type = None
Normal period 3 ended!

----- VACATION Started -----
Start time: 39.00664573581889
Duration: 11.559794005937874
Jobs in the system: 56
------ VACATION ENDED ------

--- Normal Period 4 starts... ---
Job 193: Waiting time = 11.338418655097485 | Resolution time = 0.0007909215055406094 | Resolution type = None
Job 194: Waiting time = 11.126391293946654 | Resolution time = 0.0006921179592609406 | Resolution type = None
Job 195: Waiting time = 10.904794787056744 | Resolution time = 0.0006040772423148155 | Resolution type = None
Job 196: Waiting time = 10.70467071607709 | Resolution time = 0.0006321570836007595 | Resolution type = None
Job 197: Waiting time = 10.517214910127223 | Resolution time = 0.0005879411473870277 | Resolution type = None
Job 198: Waiting time = 10.32818991271779 | Resolution time = 0.0005852309986948967 | Resolution type = None
Job 199: Waiting time = 10.12214737990871 | Resolution time = 0.0005720360204577446 | Resolution type = None
Job 200: Waiting time = 9.938463271129876 | Resolution time = 0.0005898517556488514 | Resolution type = None
Job 201: Waiting time = 9.743845832068473 | Resolution time = 0.0006110346876084805 | Resolution type = None
Job 202: Waiting time = 9.53777635609731 | Resolution time = 0.0006714155897498131 | Resolution type = None
Job 203: Waiting time = 9.337452279869467 | Resolution time = 0.0005996157415211201 | Resolution type = Aux List
Job 204: Waiting time = 9.127615354955196 | Resolution time = 0.0006418335251510143 | Resolution type = None
Job 205: Waiting time = 8.934437182266265 | Resolution time = 0.0006230901926755905 | Resolution type = None
Job 206: Waiting time = 8.703895985148847 | Resolution time = 0.0006813011132180691 | Resolution type = None
Job 207: Waiting time = 8.510630266275257 | Resolution time = 0.000629741232842207 | Resolution type = None
Job 208: Waiting time = 8.29276337986812 | Resolution time = 0.0006726430729031563 | Resolution type = None
Job 209: Waiting time = 8.085751702543348 | Resolution time = 0.0005838600918650627 | Resolution type = None
Job 210: Waiting time = 7.8719727280549705 | Resolution time = 0.0006452589295804501 | Resolution type = None
