Job 171: Waiting time = 2.5429668249562383 | Resolution time = 0.0006537004373967648 | Resolution type = None
Job 172: Waiting time = 2.3360462989658117 | Resolution time = 0.0006269128061830997 | Resolution type = None
Job 173: Waiting time = 2.138046962209046 | Resolution time = 0.0006121746264398098 | Resolution type = None
Job 174: Waiting time = 1.928327996749431 | Resolution time = 0.0006353817880153656 | Resolution type = None
Job 175: Waiting time = 1.7262975797057152 | Resolution time = 0.0006993599236011505 | Resolution type = None
Job 176: Waiting time = 1.5315628317184746 | Resolution time = 0.0006230408325791359 | Resolution type = None
Job 177: Waiting time = 1.3106554769910872 | Resolution time = 0.0006408467888832092 | Resolution type = None
Job 178: Waiting time = 1.10692229680717 | Resolution time = 0.0006133629940450191 | Resolution type = None
Job 179: Waiting time = 0.9102288410067558 | Resolution time = 0.0006323894485831261 | Resolution type = None
Job 180: Waiting time = 0.6769273639656603 | Resolution time = 0.0006458652205765247 | Resolution type = None
Job 181: Waiting time = 0.48811032390221953 | Resolution time = 0.0006419708952307701 | Resolution type = None
Job 182: Waiting time = 0.28292698971927166 | Resolution time = 0.0006390088237822056 | Resolution type = None
Job 183: Waiting time = 0.08551733288913965 | Resolution time = 0.0006232340820133686 | Resolution type = None
Job 184: Waiting time = 0.0007864530198276043 | Resolution time = 0.0007793125696480274 | Resolution type = None
Job 185: Waiting time = 0.0008036447688937187 | Resolution time = 0.0007964265532791615 | Resolution type = None
Job 186: Waiting time = 0.0007566590793430805 | Resolution time = 0.0007498678751289845 | Resolution type = None
Job 187: Waiting time = 0.0008025872521102428 | Resolution time = 0.0007955697365105152 | Resolution type = None
Job 188: Waiting time = 0.0007735053077340126 | Resolution time = 0.000766316894441843 | Resolution type = None
Job 189: Waiting time = 0.0008184579201042652 | Resolution time = 0.0008118366822600365 | Resolution type = None
Job 190: Waiting time = 0.000833866186439991 | Resolution time = 0.0008266540244221687 | Resolution type = None
Job 191: Waiting time = 0.0008344748057425022 | Resolution time = 0.000828347634524107 | Resolution type = None
Job 192: Waiting time = 0.0008571669459342957 | Resolution time = 0.000849385280162096 | Resolution type = None
Normal period 3 ended!

----- VACATION Started -----
Start time: 39.44628668576479
Duration: 11.763856848701835
Jobs in the system: 57
------ VACATION ENDED ------

--- Normal Period 4 starts... ---
Job 193: Waiting time = 11.57283148728311 | Resolution time = 0.0008561545982956886 | Resolution type = None
Job 194: Waiting time = 11.384463657159358 | Resolution time = 0.0007175849750638008 | Resolution type = None
Job 195: Waiting time = 11.188408755231649 | Resolution time = 0.0006690421141684055 | Resolution type = None
Job 196: Waiting time = 10.989275082014501 | Resolution time = 0.0006585298106074333 | Resolution type = None
Job 197: Waiting time = 10.794651618227363 | Resolution time = 0.0006708120927214622 | Resolution type = None
Job 198: Waiting time = 10.582078384235501 | Resolution time = 0.0007357602007687092 | Resolution type = None
Job 199: Waiting time = 10.386485659983009 | Resolution time = 0.000699928030371666 | Resolution type = None
Job 200: Waiting time = 10.174292453099042 | Resolution time = 0.0007045459933578968 | Resolution type = None
Job 201: Waiting time = 9.969544848892838 | Resolution time = 0.0006828117184340954 | Resolution type = None
Job 202: Waiting time = 9.757634651847184 | Resolution time = 0.0007005240768194199 | Resolution type = None
Job 203: Waiting time = 9.53329848870635 | Resolution time = 0.0006687892600893974 | Resolution type = None
Job 204: Waiting time = 9.341350346803665 | Resolution time = 0.0003642179071903229 | Resolution type = Aux List
Job 205: Waiting time = 9.158112153410912 | Resolution time = 0.0006871982477605343 | Resolution type = None
Job 206: Waiting time = 8.970681041944772 | Resolution time = 0.0006751790642738342 | Resolution type = None
Job 207: Waiting time = 8.749758222140372 | Resolution time = 0.0006551360711455345 | Resolution type = None
Job 208: Waiting time = 8.528048756998032 | Resolution time = 0.0006760954856872559 | Resolution type = None
Job 209: Waiting time = 8.322446184698492 | Resolution time = 0.0006580720655620098 | Resolution type = None
Job 210: Waiting time = 8.119729570113122 | Resolution time = 0.000661361962556839 | Resolution type = None
Job 211: Waiting time = 7.927243418060243 | Resolution time = 0.0007013608701527119 | Resolution type = None
Job 212: Waiting time = 7.712838624138385 | Resolution time = 0.0006685834378004074 | Resolution type = None
Job 213: Waiting time = 7.521185192279518 | Resolution time = 0.0006767469458281994 | Resolution type = None
Job 214: Waiting time = 7.313712223898619 | Resolution time = 0.0006949552334845066 | Resolution type = None
Job 215: Waiting time = 7.109730258118361 | Resolution time = 0.0006675305776298046 | Resolution type = None
Job 216: Waiting time = 6.9141109441407025 | Resolution time = 0.0006370367482304573 | Resolution type = None
Job 217: Waiting time = 6.708066780120134 | Resolution time = 0.0006504328921437263 | Resolution type = None
Job 218: Waiting time = 6.507523942738771 | Resolution time = 0.0008355407044291496 | Resolution type = None
Job 219: Waiting time = 6.2977158119902015 | Resolution time = 0.0007204455323517323 | Resolution type = None
Job 220: Waiting time = 6.09458317514509 | Resolution time = 0.00069802301004529 | Resolution type = None
Job 221: Waiting time = 5.891182601917535 | Resolution time = 0.0006930478848516941 | Resolution type = None
Job 222: Waiting time = 5.699819858651608 | Resolution time = 0.0007025222294032574 | Resolution type = None
Job 223: Waiting time = 5.499536043964326 | Resolution time = 0.0006716628558933735 | Resolution type = None
Job 224: Waiting time = 5.3036202439107 | Resolution time = 0.0007187160663306713 | Resolution type = None
Job 225: Waiting time = 5.093869712669402 | Resolution time = 0.0007126843556761742 | Resolution type = None
Job 226: Waiting time = 4.8922927300445735 | Resolution time = 0.0006921561434864998 | Resolution type = None
Job 227: Waiting time = 4.685726596973836 | Resolution time = 0.0006602825596928596 | Resolution type = None
Job 228: Waiting time = 4.469012587796897 | Resolution time = 0.0006596124731004238 | Resolution type = None
Job 229: Waiting time = 4.28561196429655 | Resolution time = 0.0006664828397333622 | Resolution type = None
Job 230: Waiting time = 4.079798184335232 | Resolution time = 0.0006482233293354511 | Resolution type = None
Job 231: Waiting time = 3.867038403172046 | Resolution time = 0.0006581153720617294 | Resolution type = None
Job 232: Waiting time = 3.6565999309532344 | Resolution time = 0.0008342410437762737 | Resolution type = None
Job 233: Waiting time = 3.489435281138867 | Resolution time = 0.0006555486470460892 | Resolution type = None
Job 234: Waiting time = 3.2816600827500224 | Resolution time = 0.0007356042042374611 | Resolution type = None
Job 235: Waiting time = 3.0761714158579707 | Resolution time = 0.0007060919888317585 | Resolution type = None
Job 236: Waiting time = 2.872557929251343 | Resolution time = 0.0006703762337565422 | Resolution type = None
Job 237: Waiting time = 2.657380868215114 | Resolution time = 0.0007043131627142429 | Resolution type = None
Job 238: Waiting time = 2.479412174783647 | Resolution time = 0.0006624180823564529 | Resolution type = None
Job 239: Waiting time = 2.283662906847894 | Resolution time = 0.0006803874857723713 | Resolution type = None
Job 240: Waiting time = 2.0841149743646383 | Resolution time = 0.0006913752295076847 | Resolution type = None
Job 241: Waiting time = 1.887743055820465 | Resolution time = 0.000656400341540575 | Resolution type = None
Job 242: Waiting time = 1.668082311283797 | Resolution time = 0.0006879894062876701 | Resolution type = None
Job 243: Waiting time = 1.4627973176538944 | Resolution time = 0.0006641587242484093 | Resolution type = None
Job 244: Waiting time = 1.2560436576604843 | Resolution time = 0.0006651505827903748 | Resolution type = None
Job 245: Waiting time = 1.0683905500918627 | Resolution time = 0.0006851139478385448 | Resolution type = None
Job 246: Waiting time = 0.8526746737770736 | Resolution time = 0.0008199955336749554 | Resolution type = None
Job 247: Waiting time = 0.6282047987915576 | Resolution time = 0.0012748660519719124 | Resolution type = None
Job 248: Waiting time = 0.40157329803332686 | Resolution time = 0.0009507271461188793 | Resolution type = None
Job 249: Waiting time = 0.2235581618733704 | Resolution time = 0.0006502289324998856 | Resolution type = None
Job 250: Waiting time = 0.0007255449891090393 | Resolution time = 0.0007194629870355129 | Resolution type = None
Job 251: Waiting time = 0.0008537787944078445 | Resolution time = 0.0008448236621916294 | Resolution type = None
Job 252: Waiting time = 0.0008322913199663162 | Resolution time = 0.0008254912681877613 | Resolution type = None
Job 253: Waiting time = 0.0008350787684321404 | Resolution time = 0.0008281506597995758 | Resolution type = None
Job 254: Waiting time = 0.000835746992379427 | Resolution time = 0.0008288356475532055 | Resolution type = None
Job 255: Waiting time = 0.0008518919348716736 | Resolution time = 0.0008397051133215427 | Resolution type = None
Job 256: Waiting time = 0.0008186087943613529 | Resolution time = 0.0008115256205201149 | Resolution type = None
Normal period 4 ended!

----- VACATION Started -----
Start time: 52.43386891670525
Duration: 11.409850298892707
Jobs in the system: 56
------ VACATION ENDED ------

--- Normal Period 5 starts... ---
Job 257: Waiting time = 11.205252407118678 | Resolution time = 0.0008481182157993317 | Resolution type = None
Job 258: Waiting time = 10.978779608849436 | Resolution time = 0.0006374577060341835 | Resolution type = None
Job 259: Waiting time = 10.765718136914074 | Resolution time = 0.0006147292442619801 | Resolution type = Aux List
Job 260: Waiting time = 10.586011032108217 | Resolution time = 0.000661926344037056 | Resolution type = None
Job 261: Waiting time = 10.367288681212813 | Resolution time = 0.0006828093901276588 | Resolution type = None
Job 262: Waiting time = 10.171854299958795 | Resolution time = 0.0006388197652995586 | Resolution type = None
Job 263: Waiting time = 9.96134634502232 | Resolution time = 0.0006225202232599258 | Resolution type = None
Job 264: Waiting time = 9.765949245076627 | Resolution time = 0.0006433897651731968 | Resolution type = None
Job 265: Waiting time = 9.566581089049578 | Resolution time = 0.0006314893253147602 | Resolution type = None
Job 266: Waiting time = 9.353226909879595 | Resolution time = 0.0006199749186635017 | Resolution type = None
Job 267: Waiting time = 9.123993754852563 | Resolution time = 0.0006243707612156868 | Resolution type = None
Job 268: Waiting time = 8.902096760924906 | Resolution time = 0.0006450396031141281 | Resolution type = None
Job 269: Waiting time = 8.69955584872514 | Resolution time = 0.0006082979962229729 | Resolution type = None
Job 270: Waiting time = 8.465422302018851 | Resolution time = 0.0006792903877794743 | Resolution type = None
Job 271: Waiting time = 8.219332273118198 | Resolution time = 0.0006178948096930981 | Resolution type = None
Job 272: Waiting time = 8.004433654248714 | Resolution time = 4.2780302464962006e-06 | Resolution type = Policy
Job 273: Waiting time = 7.82610427075997 | Resolution time = 0.0006063198670744896 | Resolution type = None
Job 274: Waiting time = 7.624757072888315 | Resolution time = 0.0006555612199008465 | Resolution type = None
Job 275: Waiting time = 7.434522343799472 | Resolution time = 0.0006338190287351608 | Resolution type = None
Job 276: Waiting time = 7.250391155947 | Resolution time = 0.0006330632604658604 | Resolution type = None
Job 277: Waiting time = 7.00642249872908 | Resolution time = 0.0006725788116455078 | Resolution type = None
Job 278: Waiting time = 6.806449022144079 | Resolution time = 0.0006443015299737453 | Resolution type = None
Job 279: Waiting time = 6.6222563036717474 | Resolution time = 0.0006261314265429974 | Resolution type = None
Job 280: Waiting time = 6.4237694358453155 | Resolution time = 0.0007163840346038342 | Resolution type = None
Job 281: Waiting time = 6.216033833101392 | Resolution time = 5.310866981744766e-06 | Resolution type = Policy
Job 282: Waiting time = 6.021892210934311 | Resolution time = 0.0006095231510698795 | Resolution type = None
Job 283: Waiting time = 5.847790269646794 | Resolution time = 0.0006456482224166393 | Resolution type = None
