Job 210: Waiting time = 31.630014557857066 | Resolution time = 0.00010230718180537224 | Resolution type = None
Job 211: Waiting time = 31.6177361398004 | Resolution time = 0.00010039890184998512 | Resolution type = None
Job 212: Waiting time = 31.603971298784018 | Resolution time = 0.00010092323645949364 | Resolution type = None
Job 213: Waiting time = 31.589805621188134 | Resolution time = 0.00011953338980674744 | Resolution type = None
Job 214: Waiting time = 31.569578870665282 | Resolution time = 0.00010040076449513435 | Resolution type = None
Job 215: Waiting time = 31.553865410853177 | Resolution time = 0.00010007945820689201 | Resolution type = None
Job 216: Waiting time = 31.53320483630523 | Resolution time = 0.00012438558042049408 | Resolution type = None
Job 217: Waiting time = 31.52018908271566 | Resolution time = 0.00011043250560760498 | Resolution type = None
Job 218: Waiting time = 31.499139005318284 | Resolution time = 0.00010706670582294464 | Resolution type = None
Job 219: Waiting time = 31.483910364098847 | Resolution time = 0.00011433567851781845 | Resolution type = None
Job 220: Waiting time = 31.461400952655822 | Resolution time = 0.0001241583377122879 | Resolution type = None
Job 221: Waiting time = 31.44718555500731 | Resolution time = 0.00011003110557794571 | Resolution type = None
Job 222: Waiting time = 31.42561975028366 | Resolution time = 0.00019653839990496635 | Resolution type = None
Job 223: Waiting time = 31.413162000942975 | Resolution time = 0.00019919080659747124 | Resolution type = None
Job 224: Waiting time = 31.40015115123242 | Resolution time = 0.00021781958639621735 | Resolution type = None
Job 225: Waiting time = 31.386427415069193 | Resolution time = 0.0002115778625011444 | Resolution type = None
Job 226: Waiting time = 31.369620363228023 | Resolution time = 0.00021370267495512962 | Resolution type = None
Job 227: Waiting time = 31.358711536973715 | Resolution time = 0.00020212261006236076 | Resolution type = None
Job 228: Waiting time = 31.34636331908405 | Resolution time = 0.00019978825002908707 | Resolution type = None
Job 229: Waiting time = 31.33095210324973 | Resolution time = 0.00019924994558095932 | Resolution type = None
Job 230: Waiting time = 31.310379749163985 | Resolution time = 0.00021686218678951263 | Resolution type = None
Job 231: Waiting time = 31.297831879928708 | Resolution time = 0.00018322747200727463 | Resolution type = None
Job 232: Waiting time = 31.276903276331723 | Resolution time = 0.0001887553371489048 | Resolution type = None
Job 233: Waiting time = 31.26225824514404 | Resolution time = 0.00015185074880719185 | Resolution type = None
Job 234: Waiting time = 31.23975652595982 | Resolution time = 0.00011166231706738472 | Resolution type = None
Job 235: Waiting time = 31.22038655402139 | Resolution time = 0.0001101326197385788 | Resolution type = None
Job 236: Waiting time = 31.20316314417869 | Resolution time = 0.00013487134128808975 | Resolution type = None
Job 237: Waiting time = 31.192115222103894 | Resolution time = 0.00011020991951227188 | Resolution type = None
Job 238: Waiting time = 31.17878560582176 | Resolution time = 0.00013148970901966095 | Resolution type = None
Job 239: Waiting time = 31.17114263214171 | Resolution time = 0.00013722432777285576 | Resolution type = None
Job 240: Waiting time = 31.156969445291907 | Resolution time = 0.00010648369789123535 | Resolution type = None
Job 241: Waiting time = 31.14681869186461 | Resolution time = 0.00010906718671321869 | Resolution type = None
Job 242: Waiting time = 31.13555310992524 | Resolution time = 0.0001172209158539772 | Resolution type = None
Job 243: Waiting time = 31.114111613016576 | Resolution time = 0.00013109296560287476 | Resolution type = None
Job 244: Waiting time = 31.09559914469719 | Resolution time = 0.00011390307918190956 | Resolution type = None
Job 245: Waiting time = 31.066448112018406 | Resolution time = 0.00011460203677415848 | Resolution type = None
Job 246: Waiting time = 31.056223500985652 | Resolution time = 0.00012192316353321075 | Resolution type = None
Job 247: Waiting time = 31.037487354595214 | Resolution time = 0.00011628028005361557 | Resolution type = None
Job 248: Waiting time = 31.014661299064755 | Resolution time = 0.0001124730333685875 | Resolution type = None
Job 249: Waiting time = 31.001427703071386 | Resolution time = 0.00011379783973097801 | Resolution type = None
Job 250: Waiting time = 30.987664842046797 | Resolution time = 0.00012273946776986122 | Resolution type = None
Job 251: Waiting time = 30.97543294308707 | Resolution time = 0.0001169857569038868 | Resolution type = None
Job 252: Waiting time = 30.95966050727293 | Resolution time = 0.00011955946683883667 | Resolution type = None
Job 253: Waiting time = 30.942706594709307 | Resolution time = 0.00011279713362455368 | Resolution type = None
Job 254: Waiting time = 30.927713197190315 | Resolution time = 0.0001489771530032158 | Resolution type = None
Job 255: Waiting time = 30.9112512152642 | Resolution time = 0.00011340714991092682 | Resolution type = None
Job 256: Waiting time = 30.89302444132045 | Resolution time = 0.00011236034333705902 | Resolution type = None
Normal period 4 ended!

----- VACATION Started -----
Start time: 34.98574287397787
Duration: 11.110311822034419
Jobs in the system: 2527
------ VACATION ENDED ------

--- Normal Period 5 starts... ---
Job 257: Waiting time = 41.98802189808339 | Resolution time = 0.0002756253816187382 | Resolution type = None
Job 258: Waiting time = 41.974078009836376 | Resolution time = 0.00018727034330368042 | Resolution type = None
Job 259: Waiting time = 41.957191698718816 | Resolution time = 0.00019042892381548882 | Resolution type = None
Job 260: Waiting time = 41.93264451995492 | Resolution time = 0.00019055884331464767 | Resolution type = None
Job 261: Waiting time = 41.91520645143464 | Resolution time = 0.0001832190901041031 | Resolution type = None
Job 262: Waiting time = 41.8945872168988 | Resolution time = 0.0002376842312514782 | Resolution type = None
Job 263: Waiting time = 41.882512564305216 | Resolution time = 0.00020967982709407806 | Resolution type = None
Job 264: Waiting time = 41.87306698365137 | Resolution time = 0.00020168302580714226 | Resolution type = None
Job 265: Waiting time = 41.85673871356994 | Resolution time = 0.00020342925563454628 | Resolution type = None
Job 266: Waiting time = 41.84151013800874 | Resolution time = 0.00021661724895238876 | Resolution type = None
Job 267: Waiting time = 41.83139232499525 | Resolution time = 0.00020395265892148018 | Resolution type = None
Job 268: Waiting time = 41.814042769838125 | Resolution time = 0.00019074510782957077 | Resolution type = None
Job 269: Waiting time = 41.80227389978245 | Resolution time = 0.0001629912294447422 | Resolution type = None
Job 270: Waiting time = 41.7886636024341 | Resolution time = 0.00012556742876768112 | Resolution type = None
Job 271: Waiting time = 41.76478438498452 | Resolution time = 0.00010315515100955963 | Resolution type = None
Job 272: Waiting time = 41.74549394007772 | Resolution time = 0.0001481049694120884 | Resolution type = None
Job 273: Waiting time = 41.73099480383098 | Resolution time = 0.00010883202776312828 | Resolution type = None
Job 274: Waiting time = 41.71113024884835 | Resolution time = 0.00011273100972175598 | Resolution type = None
Job 275: Waiting time = 41.68943544104695 | Resolution time = 0.0001009688712656498 | Resolution type = None
Job 276: Waiting time = 41.680098955053836 | Resolution time = 9.773951023817062e-05 | Resolution type = None
Job 277: Waiting time = 41.666226194705814 | Resolution time = 0.0001219497062265873 | Resolution type = None
Job 278: Waiting time = 41.64079061197117 | Resolution time = 0.00011062389239668846 | Resolution type = None
Job 279: Waiting time = 41.62977940682322 | Resolution time = 0.00010130507871508598 | Resolution type = None
Job 280: Waiting time = 41.616428814828396 | Resolution time = 9.701494127511978e-05 | Resolution type = None
Job 281: Waiting time = 41.59899200312793 | Resolution time = 0.0001342552714049816 | Resolution type = None
Job 282: Waiting time = 41.59022889379412 | Resolution time = 9.912438690662384e-05 | Resolution type = None
Job 283: Waiting time = 41.569943393114954 | Resolution time = 9.818002581596375e-05 | Resolution type = None
Job 284: Waiting time = 41.551854949910194 | Resolution time = 0.00010139076039195061 | Resolution type = None
Job 285: Waiting time = 41.527417552191764 | Resolution time = 9.766779839992523e-05 | Resolution type = None
